"","dataset","sampleID","G.check","XIST_214218_s_at_8687","XIST_221728_x_at_1196","XIST_224588_at_1147332","XIST_224589_at_1147331","XIST_224590_at_1147330","XIST_227671_at_1144254","KDM5D_206700_s_at_16058","RPS4Y1_201909_at_20847","G.kmean","KMvsGEO","medianFemale","medianMale","medianF_M","G.medianF_M","Kmean.Median"
"52","GSE10760","GSE10760_Biomat_56","male",5.93716223,2.543795237,2.866108954,3.569540793,3.429294025,2.571482934,8.018708501,12.32367115,"male","male",3.1477014895,10.1711898255,-7.023488336,"male","male"
"53","GSE10760","GSE10760_Biomat_57","male",5.023537212,2.505677838,2.358152446,3.591339788,3.397039706,2.571180686,8.643613399,12.05201994,"male","male",2.984110196,10.3478166695,-7.3637064735,"male","male"
"54","GSE10760","GSE10760_Biomat_58","male",5.043975181,2.516695297,2.694173346,3.555929352,3.386385742,3.116575668,8.121229083,12.03961955,"male","male",3.251480705,10.0804243165,-6.8289436115,"male","male"
"55","GSE10760","GSE10760_Biomat_59","male",5.157910748,2.525265868,2.281157009,3.548663461,3.631030659,2.533358973,7.80313766,12.21055264,"male","male",3.041011217,10.00684515,-6.965833933,"male","male"
"56","GSE10760","GSE10760_Biomat_6","male",7.629013981,1.891705811,2.519055488,3.653195967,3.20383444,2.143739644,10.80212569,14.44770873,"male","male",2.861444964,12.62491721,-9.763472246,"male","male"
"57","GSE10760","GSE10760_Biomat_60","male",5.064912452,2.530466703,2.804900187,3.54363513,3.376059191,2.551331937,8.398412134,12.19449696,"male","male",3.090479689,10.296454547,-7.205974858,"male","male"
"58","GSE10760","GSE10760_Biomat_61","male",5.231478896,2.549619409,2.473552909,3.582941837,2.767529825,2.610696391,8.350720669,12.16618703,"male","male",2.689113108,10.2584538495,-7.5693407415,"male","male"
"59","GSE10760","GSE10760_Biomat_62","male",4.955067704,2.540147491,2.427852528,3.682031276,3.494905681,2.635527903,8.381625591,12.11698357,"male","male",3.065216792,10.2493045805,-7.1840877885,"male","male"
"60","GSE10760","GSE10760_Biomat_63","male",5.945933768,2.480314142,2.671852701,3.480124078,2.845523936,2.519763957,8.447166205,12.299763,"male","male",2.7586883185,10.3734646025,-7.614776284,"male","male"
"61","GSE10760","GSE10760_Biomat_64","male",5.09566351,2.552353021,2.707321003,3.554713108,3.399496347,2.559635548,8.495449487,12.12423578,"male","male",3.053408675,10.3098426335,-7.2564339585,"male","male"
"62","GSE10760","GSE10760_Biomat_65","female",10.03375308,10.5649095,11.99230647,7.739636056,7.930101536,11.21629574,4.737109131,2.919904473,"female","female",10.29933129,3.828506802,6.470824488,"female","female"
"63","GSE10760","GSE10760_Biomat_66","female",10.09061373,10.09068921,11.75121213,6.77850345,7.989157141,11.23252689,2.543124191,2.887364551,"female","female",10.09065147,2.715244371,7.375407099,"female","female"
"64","GSE10760","GSE10760_Biomat_67","female",9.668198754,10.35380387,11.70867376,6.981218782,6.475278684,11.3833141,2.578064108,2.901520159,"female","female",10.011001312,2.7397921335,7.2712091785,"female","female"
"65","GSE10760","GSE10760_Biomat_68","female",10.72045881,10.96196681,12.38441009,7.662994429,8.295143249,12.15177234,2.599912801,2.854085941,"female","female",10.84121281,2.726999371,8.114213439,"female","female"
"66","GSE10760","GSE10760_Biomat_69","female",9.848776429,11.0467108,12.55577382,7.19131078,8.822505886,12.16490929,2.557693346,2.844266435,"female","female",10.4477436145,2.7009798905,7.746763724,"female","female"
"67","GSE10760","GSE10760_Biomat_7","male",7.134968725,1.928027445,2.500740467,3.548333561,3.134468313,1.976031297,10.25546811,14.63181942,"male","male",2.81760439,12.443643765,-9.626039375,"male","male"
"68","GSE10760","GSE10760_Biomat_70","female",11.08609996,11.36835361,13.03511304,8.358568396,7.988811559,12.4217847,2.564589009,3.684283899,"female","female",11.227226785,3.124436454,8.102790331,"female","female"
"69","GSE10760","GSE10760_Biomat_71","female",10.13322786,11.40172413,12.6483808,7.968577895,9.149536413,12.09895556,2.505212623,2.860316253,"female","female",10.767475995,2.682764438,8.084711557,"female","female"
"70","GSE10760","GSE10760_Biomat_72","female",10.30921341,11.09527219,12.21354715,3.534745927,7.220789457,10.28945294,2.56768933,3.70883047,"female","female",10.299333175,3.1382599,7.161073275,"female","female"
