"","dataset","sampleID","G.check","XIST_214218_s_at_129641","XIST_221728_x_at_122150","XIST_224588_at_119311","XIST_224589_at_119310","XIST_224590_at_119309","XIST_227671_at_116233","KDM5D_206700_s_at_137012","RPS4Y1_201909_at_141801","G.kmean","KMvsGEO","medianFemale","medianMale","medianF_M","G.medianF_M","Kmean.Median"
"1198","GSE17913","GSE17913_Biomat_79","male",7.04648863611255,8.14276675178972,9.84597387606595,7.15913523093238,6.41232408082278,9.08280887747172,5.29289851641011,7.08565052763761,"female","disagree",7.65095099136105,6.18927452202386,1.46167646933719,"female","female"
"1200","GSE17913","GSE17913_Biomat_9","female",4.68871365836936,5.65960531918935,5.89192805735076,5.02629070549707,4.11269772747142,5.63364097821642,7.23944985693048,11.1039160953165,"male","disagree",5.32996584185674,9.17168297612349,-3.84171713426675,"male","male"
"1201","GSE19475","GSE19475_Biomat_1","female",2.521569005,2.842005008,3.985023906,2.04719062,2.739860436,1.721162574,5.507641062,8.530002627,"male","disagree",2.6307147205,7.0188218445,-4.388107124,"male","male"
"1212","GSE19475","GSE19475_Biomat_2","male",6.725493352,7.013796753,8.713545529,6.588588078,7.11794182,7.585567995,1.409189407,1.560051564,"female","disagree",7.0658692865,1.4846204855,5.581248801,"female","female"
"1231","GSE19475","GSE19475_Biomat_38","male",7.200283471,7.398346549,8.72259152,7.022374715,7.076935234,7.934162692,3.577438653,2.127884554,"female","disagree",7.29931501,2.8526616035,4.4466534065,"female","female"
"1274","GSE20146","GSE20146_Biomat_10","male",8.15046894032374,8.21474879297386,10.0754341453636,6.33488177240778,5.75182376661213,7.20014483023376,2.72569329640498,4.21343745046527,"female","disagree",7.67530688527875,3.46956537343512,4.20574151184363,"female","female"
"1288","GSE20146","GSE20146_Biomat_6","female",2.68632308337221,3.44760913578517,3.5930759353321,2.3253670080933,1.89079576612351,2.33311489973222,6.63416398198413,8.2185175426565,"male","disagree",2.50971899155221,7.42634076232032,-4.9166217707681,"male","male"
"1459","GSE22138","GSE22138_Biomat_46","female",3.06698706349206,3.92533507936508,7.49813761904762,3.81991777777778,2.54190206349206,5.52433,3.13639674603175,6.2342773015873,"male","disagree",3.87262642857143,4.68533702380952,-0.812710595238094,"male","male"
"1460","GSE22138","GSE22138_Biomat_47","female",3.30373285714286,4.55579841269841,7.67944158730159,3.16145222222222,3.1160553968254,5.05240222222222,3.23729,5.33664619047619,"male","disagree",3.92976563492063,4.28696809523809,-0.35720246031746,"male","male"
"1508","GSE23376","GSE23376_Biomat_20","female",2.80486863636364,3.735745,3.61837318181818,2.928665,3.01066818181818,3.81408,4.45648818181818,11.3307790909091,"male","disagree",3.31452068181818,7.89363363636364,-4.57911295454546,"male","male"
"1512","GSE23376","GSE23376_Biomat_5","female",3.22923363636364,4.12866227272727,3.70288863636364,2.89629636363636,3.090665,3.93762863636364,3.95607590909091,8.53297681818182,"male","disagree",3.46606113636364,6.24452636363637,-2.77846522727272,"male","male"
