"","dataset","sampleID","G.check","XIST_214218_s_at_8687","XIST_221728_x_at_1196","KDM5D_206700_s_at_16058","RPS4Y1_201909_at_20847","G.kmean","KMvsGEO","medianFemale","medianMale","medianF_M","G.medianF_M","Kmean.Median"
"GSE10072_Biomat_12","GSE10072","GSE10072_Biomat_12","female",7.81491589211785,9.72614633495071,7.564048689146,7.73730867928186,"female","female",8.77053111353428,7.65067868421393,1.11985242932035,"female","female"
"GSE10072_Biomat_13","GSE10072","GSE10072_Biomat_13","female",8.37989464842764,9.13854634286332,7.59442992033319,6.70778335046334,"female","female",8.75922049564548,7.15110663539827,1.60811386024721,"female","female"
"GSE10072_Biomat_14","GSE10072","GSE10072_Biomat_14","female",8.65904488517524,10.5026341570145,7.13774621493132,6.62256358106822,"female","female",9.58083952109487,6.88015489799977,2.7006846230951,"female","female"
"GSE10072_Biomat_15","GSE10072","GSE10072_Biomat_15","female",7.84427637137594,10.1809261519276,6.90023058468158,7.37425377295691,"female","female",9.01260126165177,7.13724217881925,1.87535908283253,"female","female"
"GSE10072_Biomat_16","GSE10072","GSE10072_Biomat_16","female",7.05527577896212,9.45987027213869,7.44162807735277,7.40600720999776,"female","female",8.25757302555041,7.42381764367527,0.83375538187514,"female","female"
"GSE10072_Biomat_17","GSE10072","GSE10072_Biomat_17","female",8.66438549887799,11.2688036005481,7.2210399960052,7.22436998983027,"female","female",9.96659454971305,7.22270499291773,2.74388955679531,"female","female"
"GSE10072_Biomat_18","GSE10072","GSE10072_Biomat_18","male",4.23534387840055,5.6778050618881,9.51111535738938,12.146744418849,"male","male",4.95657447014433,10.8289298881192,-5.87235541797487,"male","male"
"GSE10072_Biomat_19","GSE10072","GSE10072_Biomat_19","male",4.61270569823966,5.9344797939322,9.85832186271732,11.5378158457835,"male","male",5.27359274608593,10.6980688542504,-5.42447610816448,"male","male"
"GSE10072_Biomat_2","GSE10072","GSE10072_Biomat_2","female",8.40230242040733,9.96346066558306,7.1117311977739,7.45516212113027,"female","female",9.1828815429952,7.28344665945209,1.89943488354311,"female","female"
"GSE10072_Biomat_20","GSE10072","GSE10072_Biomat_20","male",4.22058001807313,5.6617002304299,9.36824429229828,11.9927861809125,"male","male",4.94114012425151,10.6805152366054,-5.73937511235388,"male","male"
"GSE10072_Biomat_21","GSE10072","GSE10072_Biomat_21","female",8.47871762873578,11.0299489829432,7.22880720339603,7.55677096621844,"female","female",9.75433330583949,7.39278908480723,2.36154422103226,"female","female"
"GSE10072_Biomat_22","GSE10072","GSE10072_Biomat_22","male",4.10243718290986,5.59658674779773,9.16159433638492,12.2026886088805,"male","male",4.84951196535379,10.6821414726327,-5.83262950727892,"male","male"
